sample	unit	fq1	fq2	strandedness
Id1_control_d1	rep1	/mnt/grid/beyaz/hpc/home/data/data/seq/200423_mouse_intestine_organoids_time-kinetics/reads/Id1_Cont-D1_S1_R1_001.fastq.gz	/mnt/grid/beyaz/hpc/home/data/data/seq/200423_mouse_intestine_organoids_time-kinetics/reads/Id1_Cont-D1_S1_R2_001.fastq.gz	reverse
Id2_control_d1	rep2	/mnt/grid/beyaz/hpc/home/data/data/seq/200423_mouse_intestine_organoids_time-kinetics/reads/Id2_Cont-D1_S2_R1_001.fastq.gz	/mnt/grid/beyaz/hpc/home/data/data/seq/200423_mouse_intestine_organoids_time-kinetics/reads/Id2_Cont-D1_S2_R2_001.fastq.gz	reverse
Id3_control_d1	rep3	/mnt/grid/beyaz/hpc/home/data/data/seq/200423_mouse_intestine_organoids_time-kinetics/reads/Id3_Cont-D1_S3_R1_001.fastq.gz	/mnt/grid/beyaz/hpc/home/data/data/seq/200423_mouse_intestine_organoids_time-kinetics/reads/Id3_Cont-D1_S3_R2_001.fastq.gz	reverse
Id4_aa_d1	rep1	/mnt/grid/beyaz/hpc/home/data/data/seq/200423_mouse_intestine_organoids_time-kinetics/reads/Id4_AA-D1_S4_R1_001.fastq.gz	/mnt/grid/beyaz/hpc/home/data/data/seq/200423_mouse_intestine_organoids_time-kinetics/reads/Id4_AA-D1_S4_R2_001.fastq.gz	reverse
Id5_aa_d1	rep2	/mnt/grid/beyaz/hpc/home/data/data/seq/200423_mouse_intestine_organoids_time-kinetics/reads/Id5_AA-D1_S5_R1_001.fastq.gz	/mnt/grid/beyaz/hpc/home/data/data/seq/200423_mouse_intestine_organoids_time-kinetics/reads/Id5_AA-D1_S5_R2_001.fastq.gz	reverse
Id6_aa_d1	rep3	/mnt/grid/beyaz/hpc/home/data/data/seq/200423_mouse_intestine_organoids_time-kinetics/reads/Id6_AA-D1_S6_R1_001.fastq.gz	/mnt/grid/beyaz/hpc/home/data/data/seq/200423_mouse_intestine_organoids_time-kinetics/reads/Id6_AA-D1_S6_R2_001.fastq.gz	reverse
Id7_pge2_d1	rep1	/mnt/grid/beyaz/hpc/home/data/data/seq/200423_mouse_intestine_organoids_time-kinetics/reads/Id7_PGE2-D1_S7_R1_001.fastq.gz	/mnt/grid/beyaz/hpc/home/data/data/seq/200423_mouse_intestine_organoids_time-kinetics/reads/Id7_PGE2-D1_S7_R2_001.fastq.gz	reverse
Id8_pge2_d1	rep2	/mnt/grid/beyaz/hpc/home/data/data/seq/200423_mouse_intestine_organoids_time-kinetics/reads/Id8_PGE2-D1_S8_R1_001.fastq.gz	/mnt/grid/beyaz/hpc/home/data/data/seq/200423_mouse_intestine_organoids_time-kinetics/reads/Id8_PGE2-D1_S8_R2_001.fastq.gz	reverse
Id9_pge2_d1	rep3	/mnt/grid/beyaz/hpc/home/data/data/seq/200423_mouse_intestine_organoids_time-kinetics/reads/Id9_PGE2-D1_S9_R1_001.fastq.gz	/mnt/grid/beyaz/hpc/home/data/data/seq/200423_mouse_intestine_organoids_time-kinetics/reads/Id9_PGE2-D1_S9_R2_001.fastq.gz	reverse
Id10_control_d3	rep1	/mnt/grid/beyaz/hpc/home/data/data/seq/200423_mouse_intestine_organoids_time-kinetics/reads/Id10_Cont-D3_S10_R1_001.fastq.gz	/mnt/grid/beyaz/hpc/home/data/data/seq/200423_mouse_intestine_organoids_time-kinetics/reads/Id10_Cont-D3_S10_R2_001.fastq.gz	reverse
Id11_control_d3	rep2	/mnt/grid/beyaz/hpc/home/data/data/seq/200423_mouse_intestine_organoids_time-kinetics/reads/Id11_Cont-D3_S11_R1_001.fastq.gz	/mnt/grid/beyaz/hpc/home/data/data/seq/200423_mouse_intestine_organoids_time-kinetics/reads/Id11_Cont-D3_S11_R2_001.fastq.gz	reverse
Id12_control_d3	rep3	/mnt/grid/beyaz/hpc/home/data/data/seq/200423_mouse_intestine_organoids_time-kinetics/reads/Id12_Cont-D3_S12_R1_001.fastq.gz	/mnt/grid/beyaz/hpc/home/data/data/seq/200423_mouse_intestine_organoids_time-kinetics/reads/Id12_Cont-D3_S12_R2_001.fastq.gz	reverse
Id13_aa_d3	rep1	/mnt/grid/beyaz/hpc/home/data/data/seq/200423_mouse_intestine_organoids_time-kinetics/reads/Id13_AA-D3_S13_R1_001.fastq.gz	/mnt/grid/beyaz/hpc/home/data/data/seq/200423_mouse_intestine_organoids_time-kinetics/reads/Id13_AA-D3_S13_R2_001.fastq.gz	reverse
Id14_aa_d3	rep2	/mnt/grid/beyaz/hpc/home/data/data/seq/200423_mouse_intestine_organoids_time-kinetics/reads/Id14_AA-D3_S14_R1_001.fastq.gz	/mnt/grid/beyaz/hpc/home/data/data/seq/200423_mouse_intestine_organoids_time-kinetics/reads/Id14_AA-D3_S14_R2_001.fastq.gz	reverse
Id15_aa_d3	rep3	/mnt/grid/beyaz/hpc/home/data/data/seq/200423_mouse_intestine_organoids_time-kinetics/reads/Id15_AA-D3_S15_R1_001.fastq.gz	/mnt/grid/beyaz/hpc/home/data/data/seq/200423_mouse_intestine_organoids_time-kinetics/reads/Id15_AA-D3_S15_R2_001.fastq.gz	reverse
Id16_pge2_d3	rep1	/mnt/grid/beyaz/hpc/home/data/data/seq/200423_mouse_intestine_organoids_time-kinetics/reads/Id16_PGE2-D3_S16_R1_001.fastq.gz	/mnt/grid/beyaz/hpc/home/data/data/seq/200423_mouse_intestine_organoids_time-kinetics/reads/Id16_PGE2-D3_S16_R2_001.fastq.gz	reverse
Id17_pge2_d3	rep2	/mnt/grid/beyaz/hpc/home/data/data/seq/200423_mouse_intestine_organoids_time-kinetics/reads/Id17_PGE2-D3_S17_R1_001.fastq.gz	/mnt/grid/beyaz/hpc/home/data/data/seq/200423_mouse_intestine_organoids_time-kinetics/reads/Id17_PGE2-D3_S17_R2_001.fastq.gz	reverse
Id19_pge2_d3	rep3	/mnt/grid/beyaz/hpc/home/data/data/seq/200423_mouse_intestine_organoids_time-kinetics/reads/Id19_PGE2-D3_S18_R1_001.fastq.gz	/mnt/grid/beyaz/hpc/home/data/data/seq/200423_mouse_intestine_organoids_time-kinetics/reads/Id19_PGE2-D3_S18_R2_001.fastq.gz	reverse
